canonical_vgp_root	claim_id	classification	conclusion	estimand	sampling_unit	observed_scope	evidence_artifacts	uncertainty_covariance	forbidden_inference
/moosefs/erikg/vgp	EXEC-CLOSED	supported	All 716 catalog rows, 569 links, 10 audited pairs, and 650 scale packet scheduler allocations are accounted at the freeze.	closed-world execution accounting	catalog row, link, audited pair, and scheduler allocation	716 rows; 569 links; 10 pairs; 650 allocations	catalog_accounting.tsv;pair_accounting.tsv;vgp_real_scaleout_sacct_v1.tsv	Scheduler states include failed, cancelled, pending, and running records; MaxRSS was unavailable and not imputed.	Do not equate submitted allocations with independent biological observations.
/moosefs/erikg/vgp	DIV-ASSEMBLY	supported	Two completed H1/H2 assembly-derived individual estimates are 0.0021472198306856562 and 0.004604184795871289 per callable base, a 2.144254-fold observed range.	assembly-derived callable heterozygosity	one phased H1/H2 pair from one individual	P04 and P07	pair_accounting.tsv;paper_pairs.tsv	Both estimates are method-specific; their PSMC outputs share the same pair and are non-independent.	Do not call this a validated vertebrate distribution or a species population mean.
/moosefs/erikg/vgp	DIV-P04	bounded	P04 remains the sole retained assembly-derived quantitative result, with raw validation explicitly pending.	callable heterozygosity	one P04 individual	770,780,965 callable bp; 3,548,818 SNPs; pi 0.004604184795871289	pair_accounting.tsv;vgp_read_validation_per_pair_v1.tsv;paper_pairs.tsv	Assembly bootstrap concerns PSMC theta rather than raw-read measurement error; exact CLR reads remain unacquired.	Do not describe P04 as independently read-validated or as a population estimate.
/moosefs/erikg/vgp	DIV-P07-FAIL	supported	P07 meets the predeclared concrete haplotype-reconstruction-failure rule in both Illumina and HiFi and is preserved but excluded from quantitative synthesis.	cross-technology assembly-SNP contradiction	assembly SNP within exact-individual depth-qualified read evidence	Illumina lower bound 0.501223; HiFi lower bound 0.531662	vgp_read_validation_results_v1.json;vgp_read_validation_per_pair_v1.tsv	Chemistries share the individual and reference and are informative but not fully independent.	Do not delete the artifact, average it with read estimates, or admit its pi/PSMC as validated biology.
/moosefs/erikg/vgp	DIV-P07-BRACKET	bounded	For the P07 DP10-80 common mask, concordant and union call sets bracket pi at 0.00035313709 and 0.00089988195 under the observed paired callers.	paired-call concordance bracket	shared H1 coordinate within the common depth mask	255,821,332 bp; 90,340 shared, 132,832 assembly-only, 7,037 read-only SNPs	vgp_read_validation_mask_sensitivity_v1.tsv;vgp_read_validation_results_v1.json	These are disagreement brackets, not complete biological confidence limits; caller failures are correlated.	Do not label the bracket endpoints true pi or convert disagreement bounds into proven error rates.
/moosefs/erikg/vgp	DIV-P07-MASK	supported	The primary common mask retains 95.677% of inherited callable bases but 38.872% of inherited assembly differences; excluded-site density is 34.8067-fold higher.	assembly callability sensitivity	H1 assembly coordinate	P07 inherited and DP10-80 masks	vgp_read_validation_results_v1.json;vgp_read_validation_mask_sensitivity_v1.tsv	Masking, mappability, collapse, and caller effects are entangled.	Do not assert every excluded assembly difference is false.
/moosefs/erikg/vgp	DIV-P07-KMER	suggestive	P07 k-mer heterozygosity (0.00266527) near the inherited assembly pi but far above stringent mapped-read pi suggests strong representation/callability dependence.	model-based k-mer heterozygosity sensitivity	distinct read k-mer spectrum from one individual	P07 four-component negative-binomial spectrum fit	vgp_read_validation_results_v1.json;paper_pairs.tsv	Repeats, coverage bias, correlated k-mers, and shared molecular material are systematic uncertainty.	Do not select or average the k-mer value as truth or treat it as a population estimate.
/moosefs/erikg/vgp	PSMC-COMPUTED	supported	Both completed pairs have 64-interval unscaled PSMC trajectories and 200/200 finite block bootstraps centered on primary theta.	assembly-derived PSMC trajectory	block of the same pair-specific primary PSMCFA	P04 and P07	psmc_unscaled_trajectories.tsv;pair_accounting.tsv;psmc_histories.tsv	Masked and callable bins remain in the block-bootstrap population; P07 is later invalidated by reads.	Do not count pi and PSMC as independent evidence or retain P07 demographic biology.
/moosefs/erikg/vgp	PSMC-ABSOLUTE	bounded	Absolute time and effective-size values are bounded only by nine generic mutation-rate by generation-time sensitivity scenarios.	scenario-scaled PSMC time and effective size	pair-specific PSMC interval under generic scenario	9 scenarios x 64 intervals x 2 pairs	scenario_uncertainty.tsv;psmc_histories.tsv	No scenario is species calibrated or preferred.	Do not quote one absolute history as a species estimate.
/moosefs/erikg/vgp	PSMC-P04-SHAPE	suggestive	The retained P04 unscaled trajectory has an early lambda maximum (2.874536) and a later broad low (minimum 0.492194), suggesting temporal structure for follow-up.	relative PSMC shape	one P04 assembly-derived individual trajectory	64 unscaled intervals	psmc_unscaled_trajectories.tsv;psmc_histories.tsv	Single-individual PSMC resolution, assembly sensitivity, and generic scaling limit interpretation.	Do not name demographic events, dates, or population sizes from this shape.
