tuple_id	transcript_id	exclusion_source	reason	native_gff_sha256
ag1000g_phase3_ao_coluzzii	AGAP000192-RA	acquisition_declared	native AgamP4.12 CDS is empty or ambiguous; exclusion was declared in acquisition_manifest.tsv and the provider GFF remains byte-identical	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP000585-RA	run_validated	CDS 'AGAP000585-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP000673-RA	run_validated	CDS 'AGAP000673-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP000804-RA	run_validated	CDS 'AGAP000804-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP001028-RA	run_validated	phase-handled CDS length for 'AGAP001028-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP001081-RA	run_validated	phase-handled CDS length for 'AGAP001081-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP002154-RA	run_validated	phase-handled CDS length for 'AGAP002154-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP002695-RA	run_validated	CDS 'AGAP002695-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP003287-RA	run_validated	CDS 'AGAP003287-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP003290-RA	run_validated	phase-handled CDS length for 'AGAP003290-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP003374-RA	run_validated	CDS 'AGAP003374-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP003641-RA	run_validated	phase-handled CDS length for 'AGAP003641-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP003730-RA	run_validated	CDS 'AGAP003730-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP004122-RA	run_validated	CDS 'AGAP004122-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP004137-RA	run_validated	phase-handled CDS length for 'AGAP004137-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP004138-RA	run_validated	phase-handled CDS length for 'AGAP004138-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP004583-RA	run_validated	phase-handled CDS length for 'AGAP004583-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP005265-RA	run_validated	phase-handled CDS length for 'AGAP005265-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP006381-RA	run_validated	phase-handled CDS length for 'AGAP006381-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP008452-RA	run_validated	phase-handled CDS length for 'AGAP008452-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP008864-RA	run_validated	phase-handled CDS length for 'AGAP008864-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP009384-RA	run_validated	phase-handled CDS length for 'AGAP009384-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP010089-RA	run_validated	phase-handled CDS length for 'AGAP010089-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP010449-RA	run_validated	phase-handled CDS length for 'AGAP010449-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP010756-RA	run_validated	CDS 'AGAP010756-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP010765-RA	run_validated	CDS 'AGAP010765-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP010820-RA	run_validated	phase-handled CDS length for 'AGAP010820-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP011375-RA	run_validated	internal stop in transcript 'AGAP011375-RA'	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP011531-RA	run_validated	CDS 'AGAP011531-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012049-RA	run_validated	phase-handled CDS length for 'AGAP012049-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012547-RA	run_validated	CDS 'AGAP012547-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012560-RA	run_validated	CDS 'AGAP012560-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012666-RA	run_validated	CDS 'AGAP012666-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012787-RA	run_validated	CDS 'AGAP012787-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012809-RA	run_validated	CDS 'AGAP012809-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012812-RA	run_validated	CDS 'AGAP012812-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012814-RA	run_validated	CDS 'AGAP012814-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012824-RA	run_validated	phase-handled CDS length for 'AGAP012824-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012832-RA	run_validated	CDS 'AGAP012832-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012905-RA	run_validated	CDS 'AGAP012905-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012922-RA	run_validated	CDS 'AGAP012922-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP012923-RA	run_validated	CDS 'AGAP012923-RA' is empty or ambiguous	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013170-RA	run_validated	phase-handled CDS length for 'AGAP013170-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013179-RA	run_validated	phase-handled CDS length for 'AGAP013179-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013183-RA	run_validated	phase-handled CDS length for 'AGAP013183-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013204-RA	run_validated	phase-handled CDS length for 'AGAP013204-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013307-RA	run_validated	phase-handled CDS length for 'AGAP013307-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013349-RA	run_validated	phase-handled CDS length for 'AGAP013349-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
ag1000g_phase3_ao_coluzzii	AGAP013475-RA	run_validated	phase-handled CDS length for 'AGAP013475-RA' is not divisible by three	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b
