proposed_task_id	title	after	file_scope	inputs	deliverables	resource_envelope	review_gate	authorization_state
ne-freeze-contracts	Freeze Ne estimand, circularity, join, and source contracts	plan-vertebrate-ne-strategy	analysis/ne/contracts/*	analysis/vertebrate_ne_strategy.md; analysis/vertebrate_ne_method_matrix.tsv; analysis/vertebrate_ne_source_schema.tsv	Frozen schemas, vocabularies, circularity validator specification, response-dataset IDs	1 CPU; 4 GiB; 2 h; no network/bulk data	Independent methods review accepts every hard gate	planning_only
ne-audit-catalog	Audit vertebrate demographic and ecological metadata availability	ne-freeze-contracts	analysis/ne/inventory/*	Frozen VGP catalog snapshot after separate source permission; existing Tier3 manifests; bibliographic metadata only	Row-level method eligibility/rejection ledger; candidate source inventory; bytes/licence estimate	2 CPU; 8 GiB; 16 h; <=5 GiB; metadata/API requests only	Counts reproducible; 100% rows have disposition; no sequence download	metadata_acquisition_requires_normal_source_approval
ne-build-independent-covariates	Curate independent ecological, life-history, census, direct-mutation, and literature-Ne records	ne-audit-catalog	analysis/ne/sources/*	Approved source exports and primary papers	Provenance-complete source table; duplicate/taxon audit; overlap/independence classification	4 CPU; 16 GiB; 40 h plus manual curation; <=20 GiB	>=95% double-entry agreement; 100% accepted records have estimand/source/unit/taxon/uncertainty disposition	bounded_metadata_only
ne-freeze-taxonomy-tree	Freeze taxonomy, population joins, and phylogenetic tree ensemble	ne-audit-catalog	analysis/ne/joins/*	Accepted taxa, population locations/dates, approved phylogeny source	Taxon crosswalk; population/reference joins; dated tree ensemble; unresolved ledger	4 CPU; 16 GiB; 8 h; <=10 GiB	No fuzzy unresolved joins; every primary species has exact tip; tree uncertainty represented	bounded_metadata_only
ne-package-methods	Package demographic tools in separate pinned GNU Guix environments	ne-freeze-contracts	analysis/guix/ne/*; analysis/ne/software/*	Pinned source commits/tags and baseline channel commit	Method-specific manifests/packages; derivations; closure hashes; license record; no biological run	8 CPU; 32 GiB; 8 h; <=30 GiB store growth estimate	Build/test on login and compute-node smoke; legacy MSMC rejected; no latest/container ambiguity	environment_build_requires_reviewed_source_and_quota
ne-synthetic-truth	Validate input converters, scaled-output parsers, circularity guard, and simulations	ne-package-methods	analysis/ne/tests/*; analysis/ne/truth/*	Tiny synthetic VCF/consensus/masks/pedigrees and known simulations	Deterministic truth outputs; coverage/mask/phase error sensitivity; resource telemetry	8 CPU; 32 GiB; 24 h; <=50 GiB scratch	All parser invariants pass; scaled truth within prespecified interval; circular predictor injection fails closed	bounded_synthetic_execution_only
ne-preflight-candidates	Resolve exact assets and estimate resources without bulk download	ne-audit-catalog,ne-package-methods,ne-synthetic-truth	analysis/ne/preflight/*	Provider metadata, file sizes/checksums, sample/reference relationships	Eligible pilot manifest per method; low/base/high byte/core-hour/I-O budgets; exclusion ledger	4 CPU; 16 GiB; 16 h; <=10 GiB; HEAD/metadata only	Every candidate has same-individual/reference/mask/sample/calibration disposition; quotas fit	metadata_only
ne-primary-model-spec	Preregister phylogenetically aware independent-covariate analysis	ne-build-independent-covariates,ne-freeze-taxonomy-tree	analysis/ne/model/*	Frozen source table, pi response schema, tree ensemble	Model formula; DAG; missingness/error model; sensitivity set; simulation-based power	8 CPU; 32 GiB; 24 h; <=20 GiB	No genomic-shared/circular record in design matrix; coefficient recovery and type-I calibration pass	bounded_model_simulation_only
authorize-vertebrate-ne-execution	AUTHORIZE bounded sequence staging and demographic pilot	ne-preflight-candidates,ne-primary-model-spec	.wg decision only	Pilot manifest; Guix proof; low/base/high budget; privacy/licence/access record; storage/retention plan	Explicit human decision with approved methods, species, byte/core-hour quotas, dates, and rollback owner	No compute; decision task	Human explicitly approves exact manifest and resource envelope; silence or plan completion is NO	HUMAN_DECISION_REQUIRED_NOT_CREATED_NOT_READY
ne-stage-pilot-assets	Stage only authorized pilot assets	authorize-vertebrate-ne-execution	approved scratch plus analysis/ne/pilot/provenance/*	Exact authorized accession/version/URL/checksum rows	Checksummed immutable inputs; sample lists; references; masks; transfer logs; failure ledger	Bounded by authorization; proposed <=6 species/method and <=2 TiB scratch total	100% checksum/reference/sample/callability gates; any quota breach stops descendants	blocked_until_explicit_authorization
ne-run-pilot	Run method-specific demographic truth/pilot analyses	ne-stage-pilot-assets	analysis/ne/pilot/results/*	Frozen staged assets and method-specific Guix profiles	Scaled histories/estimands first; scenario-scaled absolute outputs; logs; sacct/I-O telemetry	Proposed aggregate <=2,000 core-h; <=256 GiB/job; <=2 TiB scratch; <=300 GiB persistent	>=90% eligible rows complete; truth controls pass; bootstrap/scenario coverage and measured cost within 2x base	blocked_until_explicit_authorization
ne-review-pilot	Independent scientific, circularity, and resource review	ne-run-pilot	analysis/ne/pilot/review/*	Pilot outputs, exclusions, telemetry, primary-model specification	Go/no-go decision for each method/species; revised measured bounds; claim audit	4 CPU; 16 GiB; 24 h; <=10 GiB	Zero leakage; zero invalid H1/H2 conversions; calibrated uncertainty; no unresolved severe failure	blocked_until_explicit_authorization
authorize-vertebrate-ne-wave	AUTHORIZE reviewed expansion wave	ne-review-pilot	.wg decision only	Pilot review and exact next-wave manifest	Explicit human decision with wave-specific resource/download envelope	No compute; decision task	Human approval required separately from pilot authorization	HUMAN_DECISION_REQUIRED_NOT_CREATED_NOT_READY
ne-run-reviewed-wave	Run authorized method-specific expansion	Authorize-vertebrate-ne-wave	analysis/ne/waves/* plus approved scratch	Exact approved wave manifest	Complete success/failure census; scaled and scenario histories; telemetry	Only explicit wave quota; bounded arrays and local scratch	Stop if >10% hard-input failures, median runtime >2x pilot base, storage >110% quota, or any circularity/reference breach	blocked_until_second_authorization
ne-fit-primary	Fit primary phylogenetic measurement-error model	ne-primary-model-spec,ne-build-independent-covariates	analysis/ne/primary/*	Frozen independent predictors, pi responses, trees	Primary fit, diagnostics, leave-clade-out results, missingness and prior sensitivities	16 CPU; 64 GiB; 48 h; <=100 GiB	Convergence, posterior predictive/type-I checks, tree ensemble and leave-clade-out stability pass	analysis_execution_after_data_freeze_review
ne-descriptive-synthesis	Synthesize demographic histories without promoting them to independent predictors	ne-review-pilot,ne-fit-primary	analysis/ne/synthesis/*	Primary fit plus scaled/shared genomic summaries	Tier-labeled figures/tables; claim matrix; provenance bundle	8 CPU; 32 GiB; 24 h; <=50 GiB	Every panel labels estimand, scale, data overlap, calibration scenario and supported claim	blocked_until_inputs_exist
