gate_id	scope	gate	threshold	observed	status	evidence	decision_consequence
H01	all_primary	pair/individual identity resolved	unresolved=0	0	PASS	result manifest + frozen design/acquisition field equality	none
H02	all_primary	exact accession.version identity resolved	unresolved=0	0	PASS	result manifest + frozen design/acquisition field equality	none
H02A	all_primary	taxid/BioSample/individual/haplotype-role fields resolved	unresolved=0	0	PASS	frozen design/acquisition closed-world equality	none
H03	all_primary	immutable checksum drift	events=0	0	PASS	100 production objects; independent P07/P08 live rehash	none
H04	retained_mapping	retained query multiplicity >1	count=0	no retained mapping	NOT_REACHED	mapping refused at preflight	cannot support GO
H05	retained_mapping	retained target multiplicity >1	count=0	no retained mapping	NOT_REACHED	mapping refused at preflight	cannot support GO
H05A	retained_mapping	retained non-1:1 bases	bp=0	no retained mapping	NOT_REACHED	mapping refused at preflight	cannot support GO
H06	callable_mask	unexplained mask accounting	discrepancy_bp=0	not measured	NOT_REACHED	mask not materialized	cannot support GO
H07	normalized_variants	H1 REF reconstruction	failures=0	not measured	NOT_REACHED	variants not materialized	cannot support GO
H08	normalized_variants	H2 alternate reconstruction	failures=0	not measured	NOT_REACHED	variants not materialized	cannot support GO
H08A	diploid_consensus	non-callable bases encoded homozygous reference	bp=0	not measured	NOT_REACHED	consensus not materialized	cannot support GO
H08B	annotation_outputs	annotation sequence-dictionary mismatch retained	count=0	no annotation output	NOT_REACHED	P03/P04 mismatch excluded before output; all annotation branches not reached	cannot support annotation GO
H09	psmc	unscaled/scaled PSMC separation	conflations=0	no PSMC outputs	NOT_REACHED	scenario branch not run	cannot support GO
A01	assembly	exact-final-sequence QV each haplotype	QV>=40 each	0/10 measured	FAIL	10/10 missing	repair required
A02	assembly	H1/H2 BUSCO completeness and missingness	complete>=0.90 and missing<=0.05 each	H1 missing 2/10; H2 missing 10/10	FAIL	QC ledger	repair required
A02A	assembly	H1/H2 BUSCO completeness difference	absolute difference<=0.05	0/10 pair differences measurable	FAIL	H2 BUSCO absent for every pair	repair required
A02B	assembly	H1/H2 BUSCO duplication	duplicated<=0.05 each	0/10 both-haplotype audits measurable	FAIL	H2 BUSCO absent for every pair	repair required
A03	assembly	copy-number/k-mer collapse audit	passing both haplotypes	0/10 measured	FAIL	10/10 missing	repair required
A04	assembly	repeat/low-complexity mask	exact manifest-bound mask	0/10 measured	FAIL	10/10 missing	repair required
A05	assembly	exact read chemistry	resolved	9/10 resolved	FAIL	P09 unresolved	P09-specific repair
A06	assembly	minimum haplotype span	>=250,000,000 bp each	20/20 pass	PASS	frozen exact assembly reports	does not override missing QC
A07	assembly	minimum contig N50	>=1,000,000 bp each	20/20 pass	PASS	frozen exact assembly reports	does not override missing QC
A08	assembly	H1/H2 length ratio	0.80..1.25	10/10 pass; 0.941..1.157	PASS	frozen exact assembly reports	does not override missing QC
C01	callability	primary callable fraction	>=0.60	0/10 measured	NOT_REACHED	masks not materialized	cannot support GO
C01A	callability	sensitivity callable fraction	>=0.50	0/10 measured	NOT_REACHED	masks not materialized	cannot support GO
C01B	callability	minimum callable bases	>=100,000,000 bp	0/10 measured	NOT_REACHED	masks not materialized	cannot support GO
C01C	callability	well-callable windows	>=50 1-Mb windows at >=80% callable	0/10 measured	NOT_REACHED	windows not materialized	cannot support GO
C01D	callability	ordered disjoint reason assignment	13 predeclared reasons; exact complement	0/10 measured	NOT_REACHED	reason masks not materialized	cannot support GO
C01E	callability	universe reconciliation	callable + reasons = universe exactly	0/10 measured	NOT_REACHED	reason masks not materialized	cannot support GO
C02	consensus	masked and heterozygous encoding	masked=N; heterozygous SNP=IUPAC	0/10 produced	NOT_REACHED	consensus not materialized	cannot support GO
C03	consensus	primary indel flank mask	10 bp	0/10 produced	NOT_REACHED	consensus not materialized	cannot support GO
C04	consensus	indel flank sensitivities	0 bp and 50 bp	0/10 produced	NOT_REACHED	consensus not materialized	cannot support GO
C05	normalized_variants	exact-reference normalization and duplicate removal	exact H1; exact duplicates removed	0/10 produced	NOT_REACHED	variants not materialized	cannot support GO
