manifest_version	review_id	source_acquisition_sha256	source_result_sha256	selection_id	roster_type	activation_status	amendment_id	failed_primary_retained	species	biosample	individual_or_isolate	h1_accession_version	h2_accession_version	assembly_generation	assembly_technologies	long_range_phasing_evidence	core_identity_status	pilot_terminal_state	pilot_reason_codes	repair_action	authorized_action	biological_jobs_authorized	full_scaleout_authorized
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P01	primary	active_primary	none	not_applicable	Camelus dromedarius	SAMN39296380	mCamDro1	GCA_036321535.1	GCA_036321565.1	later_hifi_hic_hap1_hap2	H1: PacBio Sequel II HiFi; Dovetail OmniC; H2: PacBio Sequel II HiFi; Dovetail OmniC	trio-binning plus Omni-C and YaHS	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P02	primary	active_primary	none	not_applicable	Pseudorca crassidens	SAMN41253811	mPseCra1	GCA_039906515.1	GCA_039906525.1	later_hifi_hic_hap1_hap2	H1: PacBio Sequel II HiFi; Bionano Genomics DLS; Dovetail Omni-C; H2: PacBio Sequel II HiFi; Bionano Genomics DLS; Dovetail Omni-C	Hi-C phasing plus Omni-C; Bionano DLS; YaHS	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P03	primary	active_primary	none	not_applicable	Colius striatus	SAMN33339572	bColStr4	GCA_028858725.2	GCA_028858625.2	later_hifi_hic_hap1_hap2	H1: PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2; H2: PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	trio phasing plus Arima Hi-C and Bionano; Salsa	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P04	primary	active_primary	none	not_applicable	Falco naumanni	SAMN16870685	bFalNau1	GCA_017639655.1	GCA_017639645.1	early_clr_triocanu_parental	H1: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS; H2: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	TrioCanu parental phasing plus Arima Hi-C; Bionano; Salsa2	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P05	primary	active_primary	none	not_applicable	Candoia aspera	SAMN37159891	rCanAsp1	GCA_035149785.1	GCA_035125265.1	later_hifi_hic_hap1_hap2	H1: PacBio Sequel II HiFi; Arima Hi-C v2; H2: PacBio Sequel II HiFi; Arima Hi-C v2	Hi-C phasing plus Arima Hi-C and YaHS	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P06	primary	active_primary	none	not_applicable	Dendropsophus ebraccatus	SAMN32145295	aDenEbr1	GCA_027789765.1	GCA_027789725.1	early_clr_triocanu_parental	H1: PacBio Sequel I CLR; 10X Gemonics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C v1; Illumina WGS on parents; H2: PacBio Sequel I CLR; 10X Gemonics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C v1; Ilumina WGS on parents	TrioCanu parental phasing plus 10X; Bionano; Arima Hi-C; Salsa	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P07	primary	active_primary	none	not_applicable	Spinachia spinachia	SAMN36735485	fSpiSpi1	GCA_048126635.1	GCA_048127205.1	later_hifi_hic_hap1_hap2	H1: HiFi; HiC; H2: HiFi; HiC	Hi-C phasing plus YaHS; Samba	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H1_BUSCO;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask; H1 BUSCO required	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P08	primary	active_primary	none	not_applicable	Menidia menidia	SAMN46987722	fMenMen1	GCA_048628825.1	GCA_048544195.1	later_hifi_hic_hap1_hap2	H1: PacBio HiFi; Arima Hi-C; H2: PacBio HiFi; Arima Hi-C	Arima Hi-C phasing plus YaHS	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H1_BUSCO;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask; H1 BUSCO required	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P09	primary	active_primary	none	not_applicable	Heterodontus francisci	SAMN39432692	sHetFra1	GCA_036365525.1	GCA_036365495.1	later_hifi_hic_hap1_hap2	H1: PacBio Sequel; H2: PacBio Sequel	Hi-C phasing plus Bionano and YaHS	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;UNRESOLVED_EXACT_READ_CHEMISTRY;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask; resolve exact read chemistry	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	P10	primary	active_primary	none	not_applicable	Hemiscyllium ocellatum	SAMN22550098	sHemOce1	GCA_020745735.1	GCA_020745765.1	early_clr_triocanu_parental	H1: PacBio Sequel II CLR; Illumina NovaSeq; Bionano Genomics DLS; Arima Genomics Hi-C v1; H2: PacBio Sequel II CLR; Illumina NovaSeq; Bionano Genomics DLS; Arima Genomics Hi-C v1	TrioCanu parental phasing plus Bionano; Arima Hi-C; Salsa2	pass	FAILED_PREFLIGHT	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK	measure exact-final QV both haplotypes; BUSCO both haplotypes; k-mer/copy-number audit; exact repeat/low-complexity mask	REPAIR_AND_REPILOT_ONLY	false	false
vgp-10-scaleout-repair-manifest-v1.0.0	vgp10-review-20260718-v1	8575f4daef91b821fcd6bc7a410af62d1b62249b12449503c137b22e23e9b46c	f7d846a47155c6f4ee19ab67dab45ed808f73a9f9d6d83eb6f35c8098eb5c932	A01	alternate	standby_not_triggered	none	no trigger; all primaries retained	Inia geoffrensis	SAMN32797734	mIniGeo1	GCA_036417435.1	GCA_036417475.1	later_hifi_omnic_hap1_hap2	H1: PacBio Sequel II HiFi; Dovetail OmniC; H2: PacBio Sequel II HiFi; Dovetail OmniC	Hi-C phasing plus Omni-C and YaHS	pass	STANDBY_NOT_TRIGGERED	none	remain standby; activation requires same-clade pre-result trigger and versioned amendment	STANDBY_NO_ACTION	false	false
