manifest_version	pair_id	catalog_row	link_class	pair_identity	same_individual_provenance	accession_version_frozen	h1_mirror_verified	h2_mirror_verified	assembly_generation	hifi_or_base_accuracy	qv_each_haplotype	completeness_each_haplotype	duplication_collapse	long_range_phase_confidence	mutually_comparable	whole_assembly_1to1_multiplicity	mask_accounting	callable_denominator	consensus	psmc_unscaled	psmc_bootstrap_attempts	psmc_boundary_aware	annotation_binding	core_eligible	disposition	primary_reason_code	annotation_absence_core_veto	same_pair_psmc_independent_evidence
vgp-core-freeze1-scaleout-qc-v1.0.0	R0002-ALT01	2	alternate	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NO_LONG_RANGE_SIGNAL_IN_CATALOG_NOT_A_CORE_VETO	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0003-HQ01	3	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	HIC_CATALOG_SIGNAL_CONFIDENCE_SUPPORT_ONLY	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0004-ALT01	4	alternate	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NO_LONG_RANGE_SIGNAL_IN_CATALOG_NOT_A_CORE_VETO	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0005-HQ01	5	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	HIC_CATALOG_SIGNAL_CONFIDENCE_SUPPORT_ONLY	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0006-HQ01	6	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	HIC_CATALOG_SIGNAL_CONFIDENCE_SUPPORT_ONLY	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0007-HQ01	7	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	HIC_CATALOG_SIGNAL_CONFIDENCE_SUPPORT_ONLY	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0011-ALT01	11	alternate	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NO_LONG_RANGE_SIGNAL_IN_CATALOG_NOT_A_CORE_VETO	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0012-ALT01	12	alternate	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NO_LONG_RANGE_SIGNAL_IN_CATALOG_NOT_A_CORE_VETO	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0013-HQ01	13	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	HIC_CATALOG_SIGNAL_CONFIDENCE_SUPPORT_ONLY	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
vgp-core-freeze1-scaleout-qc-v1.0.0	R0014-HQ01	14	other_high_quality	NOT_AUDITED_EXACT	NOT_AUDITED_EXACT	PASS_CATALOG	FAIL_ZERO_VERIFIED	FAIL_NOT_IN_VERIFIED_MIRROR	NOT_AUDITED	NOT_AUDITED_EXACT	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NO_LONG_RANGE_SIGNAL_IN_CATALOG_NOT_A_CORE_VETO	NOT_AUDITED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	0	NOT_RUN	NOT_AUDITED_OPTIONAL	false	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	false	false
