check_id	category	subject	decision	observed	expected	evidence	notes
gate_stable_recompute	authorization	repaired gate	PASS	stable fields match	stable fields match	analysis/vgp_pilot_gate.json	Fresh local gate recomputation covered all authorization, input, row, cap, storage, and environment fields.
current_run_refusal_recompute	authorization	promoted refusal ledgers	PASS	run+telemetry+results+exclusions+refusals match	all five promoted ledgers reproduce	analysis/vgp_pilot_run_manifest.tsv:2	Comparison removes only volatile run IDs, timestamps, and worktree prefixes.
refusal_evidence_sha256	immutability	promoted typed refusal row	PASS	08d29385151f9f2f66272274be9056d901081e271866df8d13246c4fafcd9ae9	SHA-256 of the typed refusal evidence excluding evidence_sha256	analysis/vgp_pilot_refusals.tsv:2	The evidence digest binds the exact run ID, timestamp, decision, path, and zero-use counters.
current_acquisition_refusal_recompute	authorization	acquisition refusal	PASS	codes=GATE_NO_GO,CAP_MOOSEFS_READ_GB_EXCEEDED,CAP_SCRATCH_GIB_EXCEEDED,QUOTA_UNAVAILABLE; inventory_objects=0	codes=GATE_NO_GO,CAP_MOOSEFS_READ_GB_EXCEEDED,CAP_SCRATCH_GIB_EXCEEDED,QUOTA_UNAVAILABLE; inventory_objects=0	analysis/vgp_pilot_acquisition_manifest.tsv:2-5; analysis/vgp_pilot_immutable_object_inventory.tsv	No provider request or biological byte was issued during the local reproduction.
refusal:current_no_go	authorization_mutation	current_no_go	PASS	acquire=GATE_NO_GO; run=GATE_NO_GO; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:unknown_decision	authorization_mutation	unknown_decision	PASS	acquire=GATE_DECISION_UNKNOWN; run=GATE_DECISION_UNKNOWN; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_gate_file_without_rehash	authorization_mutation	altered_gate_file_without_rehash	PASS	acquire=GATE_TAMPERED; run=PRECHECK_FAILED; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_manifest_digest	authorization_mutation	altered_manifest_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_data_root_storage_contract_digest	authorization_mutation	altered_data_root_storage_contract_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_root_contract_digest	authorization_mutation	altered_root_contract_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_environment_digest	authorization_mutation	altered_environment_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_cap_vector_digest	authorization_mutation	altered_cap_vector_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_retrieval_checksum_obligations_digest	authorization_mutation	altered_retrieval_checksum_obligations_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_input_bundle_digest	authorization_mutation	altered_input_bundle_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_pair_evidence_digest	authorization_mutation	altered_pair_evidence_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_measurement_contract_digest	authorization_mutation	altered_measurement_contract_digest	PASS	acquire=BOUND_DIGEST_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
refusal:altered_cap_contract	authorization_mutation	altered_cap_contract	PASS	acquire=CAP_VECTOR_MISMATCH; run=CAP_STORAGE_CONTRACT_WEAKENED; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
