claim_id	evidence_input	branch	current_graph_state	permitted_claim	required_threshold_or_label	explicitly_forbidden_claim	mandatory_synthesis_wording
C01	VGP same-individual H1/H2 haplotype pair only	H1_H2_STATE_ONLY	MEASURED_BY_CORE_NOT_GBGC	unpolarized counts of heterozygous W/S states and reason-coded candidate spatial clusters inside the callable 1:1 mask	label every output state_count or candidate_cluster; show callable denominator and no direction	conversion direction; donor or recipient; parent-of-origin; transmitted event; GC transmission distortion; population frequency spectrum; population B; historical branch substitution; allelic or non-allelic conversion rate	H1/H2 describes heterozygous states only; without parents/gametes, population frequencies, or outgroups, conversion and gBGC are not identified.
C02	complete four-product tetrads with both parental haplotypes	direct	AUTHORIZED_DOWNSTREAM_PILOT	direct callable allelic meiotic conversion events, interval-censored tract bounds, CO association, and within-cross GC resolution distortion	D01 thresholds in estimand manifest; below threshold report descriptive estimate plus insufficient-events flag	a vertebrate-wide rate; a human rate; population B; historical substitution bias; demographic explanation; unobserved events outside callable marker intervals	Direct D01 estimates apply only to the assayed Arabidopsis cross and callable marker process; they are not extrapolated as measured vertebrate rates.
C03	complete pedigree child plus both parents and transmitted phase	direct	DESIGN_ONLY_ALTERNATE	direct transmitted candidate events per callable meiosis if phase, genotype, de novo, cell-line, and copy filters pass	at least 50 independent callable meioses for claim-grade rate; D02 remains bounded sensitivity if smaller	calling isolated Mendelian errors conversions; using family members as a population frequency sample; cross-species rate transfer	Human pedigree results, if authorized, are bounded sensitivity priors only and are not measured rates for other vertebrates.
C04	multi-individual same-population genotypes with polarized or uncertainty-aware ancestral states	population	NOT_RUN_DESIGN_ONLY	WS/SW allele-frequency spectra and model-dependent B conditional on explicit mutation, demography, linkage, recombination, structure, selection-mask, and polarization models	n>=50 unrelated diploids in one population plus P_SFS/P_B variant/opportunity thresholds; current synthesis must say not measured	direct conversion-event counts; tract rate or length; parent-of-origin; transmission distortion; inferring B from one H1/H2 pair; treating B as model-free	Population-frequency gBGC was not measured in the current graph; no population B is inferred from VGP H1/H2.
C05	ortholog-controlled close-clade alignments with two outgroups	historical_phylogenetic	AUTHORIZED_DOWNSTREAM_PILOT	branch-specific WS/SW substitution asymmetry and long-term gBGC-like bias under a context-dependent phylogenetic model	H01/H02 only after orthology, callability, two-outgroup, topology, opportunity, and minimum-substitution gates	direct meiotic event count; current transmission bias; current population B; direct tract-rate conversion; interpreting a cluster as a proven conversion tract	Historical substitution bias is a long-term model-dependent branch signal, not a count of direct events or a current population B.
C06	copy-resolved paralogs or segmental duplications across haplotypes	non_allelic	NOT_RUN_DESIGN_ONLY	copy-aware candidate homogenization tracts or excess identity relative to GENECONV-like and gene-tree nulls	>=3 resolved copies in >=5 independent diploid individuals sharing a copy state; current synthesis must say not measured	allelic meiotic conversion; allelic gBGC; parent-of-origin transmission; inferring non-allelic conversion from H1/H2 allelic differences; treating collapsed copies as homogenized	Non-allelic conversion was not measured in the current graph; Paralog homogenization is not allelic gBGC.
C07	direct single-species estimate used in comparative sensitivity	cross_branch_transfer	SENSITIVITY_ONLY	a bounded prior or sensitivity range with source species, assay, callable denominator, and transfer function shown	name source species, assay, denominator, bound, and explicit transfer function; never place it in a measured-rate column	a fixed measured rate assigned to every vertebrate; replacing missing species measurements; calibrating historical substitutions as event counts without an explicit generative model	Direct human or other single-species estimates are sensitivity priors, never measured cross-vertebrate rates.
C08	gBGC-sensitive diversity, SFS, substitution, or coding summary	demographic_interpretation	SENSITIVITY_REQUIRED	a demographic interpretation that is stable across no-gBGC and bounded-gBGC sensitivity models, with instability disclosed	report separate no-gBGC and bounded-gBGC paths and label any changed conclusion GBGC_SENSITIVE	selection or demography inferred from a gBGC-sensitive summary without the separate sensitivity; treating gBGC-like signals as adaptation	Because gBGC can mimic selection and distort frequency and substitution summaries, demographic and selection interpretations are reported separately from gBGC sensitivity.
C09	absence of detected direct events, historical asymmetry, or paralog tracts	any_branch	BRANCH_SPECIFIC	a branch-specific non-detection with power, callability, and model sensitivity	state branch, callable opportunity, detection threshold, uncertainty, and the alternatives not excluded	evidence that gene conversion does not occur; using failure in one branch to negate a signal in another branch; pooling denominators across branches	A non-detection is limited to that branch's callable opportunities and power; the four evidence branches are non-interchangeable.
C10	joint qualitative comparison of four branch outputs	cross_branch_synthesis	ONLY_AFTER_SEPARATE_EXECUTION	concordance or discordance of separately labeled estimands without algebraic conversion between them	retain direct rate, population B, historical bias, and non-allelic score in separate columns and units	a single omnibus gBGC number; converting historical WS/SW counts to direct tracts; converting population B to event rate; calling non-allelic tracts meiotic allelic events	Direct events, population B, historical substitution bias, and non-allelic homogenization remain separate evidence objects even when compared.
