row_type	scenario_id	authorization_state	species_scope	species_count	metric	unit	low	base	high	calibration_status	evidence	notes	recommendation
recommendation	pilot_next_decision	current_review_only	bounded_vgp_pilot	0						review_conclusion	analysis/vgp_pilot_review.md; analysis/vgp_pilot_qc.tsv; analysis/vgp_pilot_ne_inventory.md; analysis/vertebrate_scaleout_decisions.tsv	Recommendation is stop_repair: zero species crossed the authorization boundary, no independent Ne/ecological inventory rows were populated, and any expansion/full-catalog/demographic action requires a new explicit user authorization packet analogous to A50/A60/A70/A71.	stop_repair
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	download_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv; analysis/vgp_pilot_run_manifest.tsv	The July 17, 2026 UTC NO_GO refusal submitted no jobs and staged no assets, so executable cost remains zero.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	aggregate_core_hours	core-h	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	Observed CPU time remained zero because final_state=NOT_SUBMITTED.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	peak_memory_gib_per_job	GiB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	No executable job existed under the refusal boundary.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	catalog_wall_hours	h	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	Observed elapsed time remained zero because no sbatch command was issued.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	peak_local_scratch_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	Refused preflight created no scratch allocations.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	persistent_input_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_run_manifest.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No pilot download or staging occurred.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	persistent_output_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_run_manifest.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No pilot outputs were promoted across the authorization boundary.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	file_inodes	count	0	0	0	observed_refusal_zero	analysis/vgp_pilot_run_manifest.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No retained pilot files were created.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	moosefs_read_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	No executable read traffic occurred under the refusal boundary.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	moosefs_write_gb	GB	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	No executable write traffic occurred under the refusal boundary.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	metadata_operations	count	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	No executable metadata operations were recorded.	
scenario_metric	current_no_go_executable_cost	NOT_SUBMITTED	current_frozen_manifest	0	peak_bandwidth_mib_s	MiB/s	0	0	0	observed_refusal_zero	analysis/vgp_pilot_slurm_telemetry.tsv	No executable data-transfer bandwidth was observed.	
