panel_id	qc_id	category	requirement	observed	threshold	status	excluded_bases	excluded_fraction	reason_code	evidence	preflight_slurm_job_id
H01	G01_DESIGN_IDENTITY	identity	five frozen exact accession versions	5 exact versions	5	PASS	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NONE	gene_conversion_dataset_manifest.tsv	1781129
H01	G02_RELEASED_INVENTORY	acquisition	all five sequence sources inventoried	3/5 accessions; 6 FASTA/2bit objects	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	MISSING_RELEASED_SEQUENCE_SOURCE	vgp_freeze1_source_inventory.tsv	1781129
H01	G03_LOCAL_SEQUENCE	acquisition	five checksum-verified local assemblies	0/5; 0 observed bytes	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_VERIFIED_SEQUENCE_PAYLOAD	vgp_freeze1_mirror_manifest.tsv	1781129
H01	G04_SEQUENCE_CHECKSUM	provenance	published checksum plus local SHA-256 for every assembly	0/5 resolved	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	CHECKSUM_UNRESOLVED	vgp_freeze1_mirror_summary.json	1781129
H01	G04B_LICENSE_AUDIT	provenance	exact assembly/annotation VGP publication status, attribution, and reuse audit	general NCBI policy only; assembly-specific audit unresolved	all used objects	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	ASSEMBLY_SPECIFIC_LICENSE_AUDIT_UNRESOLVED	clade manifest	1781129
H01	G05_ANNOTATION_COORDINATES	annotation	exact native annotation or validated coordinate mapping and sequence dictionary	0 exact dictionaries validated	all used partitions	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	ANNOTATION_DICTIONARY_UNAVAILABLE	gene_conversion_dataset_manifest.tsv	1781129
H01	G06_TAXON_POLARIZATION	design	at least 3 callable ingroups plus 2 callable outgroups	0 callable ingroups; 0 callable outgroups	>=3 ingroup; >=2 outgroup	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_CALLABLE_ALIGNMENT	pre-result gate	1781129
H01	G06B_TOPOLOGY_IDENTITY	phylogeny	versioned species topology/source/checksum/license plus alternate topology	no executable topology artifact frozen	all taxa and branches	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	TOPOLOGY_PROVENANCE_UNRESOLVED	design describes sensitivity but supplies no versioned Newick	1781129
H01	G07_NEUTRAL_CALLABILITY	callability	reciprocal 1:1 neutral aligned bases callable in required taxa	0 bases	>=10000 bases	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_ORTHOLOGY_PRODUCT	H_SUB preregistration	1781129
H01	G08_H_SUB_COUNTS	estimand	directionally informative substitutions per branch/partition	NOT_ESTIMABLE_NO_BRANCH_ASSIGNMENTS	>=20 WS and >=20 SW	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_SUB preregistration	1781129
