dataset_id	artifact_class	superseded_path	superseded_sha256	supersession_reason	replacement_path	replacement_sha256	consumable
menidia_menidia_fMenMen1	SweepGA_production_mapping	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/sweepga/direct/cap1.paf	64e74269ab45aaf8e301ab10891962be4dcdb1c1ca4d5cf65a7ba39d97187e87	produced_without_accepted_reproducible_origin_main_binary_identity	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	dd7ef226515e12c0fc96bc9cdbb8ecdf9434c09ab63aa942e87637dce6b77b11	no
menidia_menidia_fMenMen1	mapping_derived_downstream_tree	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/annotation_query/impg_query_manifest.tsv	ba161838fbe29ccf828560d16585b1c8d77084c30fb11ebb9b78ac3ee5dc0e97	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/annotation_query/impg_query_manifest.tsv	ba161838fbe29ccf828560d16585b1c8d77084c30fb11ebb9b78ac3ee5dc0e97	no
menidia_menidia_fMenMen1	mapping_derived_contig_map	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/annotation_query/h1_h2_contig_map.tsv	cad54dc5c7429d76fc66fad1fa9a6d5a54d8d7c75c1306572d061a9c2880328d	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/annotation_query/h1_h2_contig_map.tsv	cad54dc5c7429d76fc66fad1fa9a6d5a54d8d7c75c1306572d061a9c2880328d	no
menidia_menidia_fMenMen1	IMPG_implicit_graph_index	/moosefs/erikg/tier3data/tier3a-biological-20260716/menidia_menidia_fMenMen1/graph.impg		IMPG_index_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/graph.impg		no
menidia_menidia_fMenMen1	IMPG_normalized_biological_BCF	/moosefs/erikg/tier3data/tier3a-biological-20260716/menidia_menidia_fMenMen1/normalized.bcf	6872a6212174eee860695c318c5a1ce7146f4060c7505b1dd9e9fe6093c76b2e	IMPG_calls_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/normalized.bcf	f1853ae88f0c738e212aba67dc24d6bba1ddea867f4395ab581b55d56952ce1c	no
spinachia_spinachia_SK-2024b	SweepGA_production_mapping	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/sweepga/direct/cap1.paf	729105ed51fbbe70fc98244960e1d6003388398948fc6b6cab7e576fc38443db	produced_without_accepted_reproducible_origin_main_binary_identity	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	bfd2b8c3d23db5078d181b1a49a816fe57b8309d48839c1a1e54265389beb962	no
spinachia_spinachia_SK-2024b	mapping_derived_downstream_tree	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/annotation_query/impg_query_manifest.tsv	9388b2cea8cef48bd9b3d9d178649e3f5c5169baac02724e68def8a781219283	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/annotation_query/impg_query_manifest.tsv	9388b2cea8cef48bd9b3d9d178649e3f5c5169baac02724e68def8a781219283	no
spinachia_spinachia_SK-2024b	mapping_derived_contig_map	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/annotation_query/h1_h2_contig_map.tsv	ba997e9f6f469ce8fdd9f96a9fe03a017219b2102835bc3d4bbf2d09b2d2192b	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/annotation_query/h1_h2_contig_map.tsv	ba997e9f6f469ce8fdd9f96a9fe03a017219b2102835bc3d4bbf2d09b2d2192b	no
spinachia_spinachia_SK-2024b	IMPG_implicit_graph_index	/moosefs/erikg/tier3data/tier3a-biological-20260716/spinachia_spinachia_SK-2024b/graph.impg		IMPG_index_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/graph.impg		no
spinachia_spinachia_SK-2024b	IMPG_normalized_biological_BCF	/moosefs/erikg/tier3data/tier3a-biological-20260716/spinachia_spinachia_SK-2024b/normalized.bcf	218a0bd73cb218fc2186d1574ceba2ed782b2ea80b39a054d02076febb71c3aa	IMPG_calls_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/normalized.bcf	39024197da4a258dd9b10382251c41857e450cda243c63ad1c58df05629cc83e	no
tautogolabrus_adspersus_fTauAds1	SweepGA_production_mapping	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/sweepga/direct/cap1.paf	9b5dd662748026a34d88e5077c972410c79f6719735cb79cd40480b9a49928a2	produced_without_accepted_reproducible_origin_main_binary_identity	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf	bbb3617ef2d2716a451c2693b56d3f972d76985c3913072ece3c0d328407f33c	no
tautogolabrus_adspersus_fTauAds1	mapping_derived_downstream_tree	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/annotation_query/impg_query_manifest.tsv	687811d08ec21791d122aaf1120b211f5256180b066ef8ae9386aab9af5a125a	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/annotation_query/impg_query_manifest.tsv	687811d08ec21791d122aaf1120b211f5256180b066ef8ae9386aab9af5a125a	no
tautogolabrus_adspersus_fTauAds1	mapping_derived_contig_map	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/annotation_query/h1_h2_contig_map.tsv	6cf6155ccd6ffa86cc816658bd47e4a60473a0a291b0b9c5a7e15832b528ebd1	derived_from_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/annotation_query/h1_h2_contig_map.tsv	6cf6155ccd6ffa86cc816658bd47e4a60473a0a291b0b9c5a7e15832b528ebd1	no
tautogolabrus_adspersus_fTauAds1	IMPG_implicit_graph_index	/moosefs/erikg/tier3data/tier3a-biological-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg		IMPG_index_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg		no
tautogolabrus_adspersus_fTauAds1	IMPG_normalized_biological_BCF	/moosefs/erikg/tier3data/tier3a-biological-20260716/tautogolabrus_adspersus_fTauAds1/normalized.bcf	aec5dd4ca2a880f21b26497d5823d790b7bfc7b5d20af19ab1ae941cd3363072	IMPG_calls_consumed_superseded_mapping	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/normalized.bcf	07c614bd00f06db543cd445cfdf7e8b23536af257053a710ca6ec8751f93b73b	no
